Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "12.5 kV Losses", "0.208 kV Losses", "0.24 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "12.5 kV Line Loss", "0.208 kV Line Loss", "0.24 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "12.5 kV Load Loss", "0.208 kV Load Loss", "0.24 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "12.5 kV No Load Loss", "0.208 kV No Load Loss", "0.24 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "12.5 kV Load Energy", "0.208 kV Load Energy", "0.24 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20"
, 593.70871999381, -91.4092040432645, 593.70871999381, 600.704325588315, 61.534547349088, 3.95824981490683, 61.534547349088, 61.6617244249166, 0, 0, 0, 0, 532.173985841867, -95.3672648670543, 532.173985841867, 95.3672648670543, 18.0816641670075, -95.3672648670543, 514.09232167486, -6.46453376940137E-16, 18.0816641670075, 514.09232167486, 17.9754328104592, 514.198553031408, 10.0769893959208, 5.28817936237797, 15.3651687582984, 2.61026405216075, 0, 0, 0, 0, 532.061164467751, 0.112821374115072, 1.66154406800045E-12, 0, 0, 0, 0, 17.8626114363424, 0.112821374115072, 1.66154406800045E-12, 0, 0, 0, 0, 0.106231356548327, 0, 0, 0, 0, 0, 0, 514.09232167486, 0, 0, 0, 0, 0, 0, 29.2738668415839, 32.2606805075041, 0, 0, 0, 0, 0
ð?, 594.671962498535, -91.2746803466487, 594.671962498535, 601.635944948639, 62.4858894497296, 4.0189779251949, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.18645104515, -95.2940179966988, 532.18645104515, 95.3672648670543, 18.1498735821483, -95.2940179966988, 514.036577463003, 7.34669269863986E-16, 18.1498735821483, 514.09232167486, 18.0417412098662, 514.144709835285, 10.1107682476852, 5.30955098216547, 15.4203192298507, 2.62142198001542, 0, 0, 0, 0, 532.070080690662, 0.116370354487063, 1.06379652966035E-12, 0, 0, 0, 0, 17.9253708553781, 0.116370354487063, 1.06379652966035E-12, 0, 0, 0, 0, 0.108132372282023, 0, 0, 0, 0, 0, 0, 514.036577463003, 0, 0, 0, 0, 0, 0, 29.7263546687823, 32.7595347809473, 0, 0, 0, 0, 0
@, 592.380393531302, -91.5942376306912, 594.671962498535, 601.635944948639, 60.2222691315448, 3.87438586665084, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.157249725206, -95.4677639763045, 532.18645104515, 95.4677639763045, 17.9880643161049, -95.4677639763045, 514.169185409102, 4.20963611191816E-16, 18.1498735821483, 514.169185409102, 17.8844096199531, 514.272840105253, 10.0305680561506, 5.25882454283222, 15.2893925989828, 2.59501702097031, 0, 0, 0, 0, 532.049231859955, 0.108017865251195, 1.14398862882598E-14, 0, 0, 0, 0, 17.7763917547019, 0.108017865251195, 1.14398862882598E-14, 0, 0, 0, 0, 0.103654696151732, 0, 0, 0, 0, 0, 0, 514.169185409102, 0, 0, 0, 0, 0, 0, 28.649677899461, 31.5725912320838, 0, 0, 0, 0, 0
@, 589.490853472528, -91.9945841956282, 594.671962498535, 601.635944948639, 57.3671572980382, 3.69087775260854, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.12263560861, -95.6843741449948, 532.18645104515, 95.6843741449948, 17.786278786501, -95.6843741449948, 514.336356822109, -2.69347044667967E-16, 18.1498735821483, 514.336356822109, 17.6880501845616, 514.434585424048, 9.93021653709731, 5.195425350786, 15.1256418878828, 2.56240829667878, 0, 0, 0, 0, 532.024704016195, 0.0979315924161221, -8.62864841697114E-13, 0, 0, 0, 0, 17.5901185921463, 0.0979315924161221, -8.62864841697114E-13, 0, 0, 0, 0, 0.0982286019393967, 0, 0, 0, 0, 0, 0, 514.336356822109, 0, 0, 0, 0, 0, 0, 27.2914344906081, 30.0757228074301, 0, 0, 0, 0, 0
@, 589.887273567388, -91.939527116964, 594.671962498535, 601.635944948639, 57.7602165016838, 3.71519859932057, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.127202621805, -95.6548742630001, 532.18645104515, 95.6843741449948, 17.8137710618352, -95.6548742630001, 514.313431559971, -2.31517929827341E-16, 18.1498735821483, 514.336356822109, 17.714813681115, 514.412388940692, 9.94391195881481, 5.20406742031429, 15.1479793791293, 2.5668343019856, 0, 0, 0, 0, 532.027914831105, 0.0992877906996433, 1.31420791734335E-12, 0, 0, 0, 0, 17.615525890414, 0.0992877906996433, 1.31420791734335E-12, 0, 0, 0, 0, 0.0989573807203029, 0, 0, 0, 0, 0, 0, 514.313431559971, 0, 0, 0, 0, 0, 0, 27.4782496374452, 30.2819668642386, 0, 0, 0, 0, 0
@, 589.124339328244, -92.0449668422199, 594.671962498535, 601.635944948639, 57.0056610136663, 3.66700148125507, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.118399905218, -95.7116807633953, 532.18645104515, 95.7116807633953, 17.7608400759037, -95.7116807633953, 514.357559829314, 7.34912131150622E-16, 18.1498735821483, 514.357559829314, 17.6632827747694, 514.455117130448, 9.91753845264896, 5.18741869735683, 15.1049571500049, 2.55832562476447, 0, 0, 0, 0, 532.021711172258, 0.0966887329591914, 1.61230978512081E-13, 0, 0, 0, 0, 17.5665940418101, 0.0966887329591914, 1.61230978512081E-13, 0, 0, 0, 0, 0.0975573011342402, 0, 0, 0, 0, 0, 0, 514.357559829314, 0, 0, 0, 0, 0, 0, 27.1193461389093, 29.886314874757, 0, 0, 0, 0, 0
@, 589.389306902401, -92.0083091641434, 594.671962498535, 601.635944948639, 57.2679728548592, 3.68357520416122, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.121430633423, -95.6919836031916, 532.18645104515, 95.7116807633953, 17.7791952534525, -95.6919836031916, 514.342235379969, -3.27132418376231E-16, 18.1498735821483, 514.357559829314, 17.681153844202, 514.440276789219, 9.92668728246369, 5.193192380628, 15.1198796630908, 2.56127418111124, 0, 0, 0, 0, 532.023842828921, 0.0975878044998856, 9.63948378228436E-13, 0, 0, 0, 0, 17.5835660397012, 0.0975878044998856, 9.63948378228436E-13, 0, 0, 0, 0, 0.0980414092504905, 0, 0, 0, 0, 0, 0, 514.342235379969, 0, 0, 0, 0, 0, 0, 27.2440818196673, 30.023891035192, 0, 0, 0, 0, 0
@, 590.916092750321, -91.7970993416484, 594.671962498535, 601.635944948639, 58.7773087560164, 3.78028007609147, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.139353549501, -95.5779525139057, 532.18645104515, 95.7116807633953, 17.8854355528092, -95.5779525139057, 514.253917996692, 6.53860646182559E-16, 18.1498735821483, 514.357559829314, 17.7845628187048, 514.354790730795, 9.97957732800079, 5.22659225891578, 15.2061695869166, 2.57839323178827, 0, 0, 0, 0, 532.036506507321, 0.102847042178912, 4.11906966061748E-13, 0, 0, 0, 0, 17.6817157765255, 0.102847042178912, 4.11906966061748E-13, 0, 0, 0, 0, 0.100872734104402, 0, 0, 0, 0, 0, 0, 514.253917996692, 0, 0, 0, 0, 0, 0, 27.9620472212996, 30.8152615347168, 0, 0, 0, 0, 0
 @, 594.271322261673, -91.3304705047768, 594.671962498535, 601.635944948639, 62.0914280171894, 3.9928491799348, 62.4858894497296, 62.6150027061169, 0, 0, 0, 0, 532.181203181178, -95.3245744889564, 532.18645104515, 95.7116807633953, 18.1214275446773, -95.3245744889564, 514.059775636499, 6.57439380713498E-16, 18.1498735821483, 514.357559829314, 18.0140903730943, 514.167112808083, 10.0966868648097, 5.30063518605036, 15.3973220508595, 2.6167683222349, 0, 0, 0, 0, 532.066313697411, 0.114889483767121, -3.25082462044331E-13, 0, 0, 0, 0, 17.8992008893275, 0.114889483767121, -3.25082462044331E-13, 0, 0, 0, 0, 0.107337171583039, 0, 0, 0, 0, 0, 0, 514.059775636499, 0, 0, 0, 0, 0, 0, 29.5385493837525, 32.552878633437, 0, 0, 0, 0, 0
"@, 598.795346868513, -90.6957483460583, 598.795346868513, 605.624955066611, 66.5542299249632, 4.27943580144378, 66.5542299249632, 66.6916718315229, 0, 0, 0, 0, 532.242986196739, -94.9768670488825, 532.242986196739, 95.7116807633953, 18.4451141225463, -94.9768670488825, 513.797872074193, 1.15253639965118E-15, 18.4451141225463, 514.357559829314, 18.3285325362886, 513.91445366045, 10.2565053344149, 5.40187297748333, 15.6583783118977, 2.67015422439092, 0, 0, 0, 0, 532.11080386604, 0.132182330699805, -9.52398151716014E-13, 0, 0, 0, 0, 18.1963502055897, 0.132182330699805, -9.52398151716014E-13, 0, 0, 0, 0, 0.116581586257778, 0, 0, 0, 0, 0, 0, 513.797872074193, 0, 0, 0, 0, 0, 0, 31.6615222841728, 34.8927076407904, 0, 0, 0, 0, 0
