Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"MAIN_NODE", 12.47, 1,    7415.68,    0.0,      1.03, 2,    7415.88, -120.0,      1.03, 3,    7415.37,  120.0,      1.03
"ANGEL_FIRE_NODE_ROOT", 12.47, 1,    7415.66,    0.0,      1.03, 2,    7415.88, -120.0,      1.03, 3,    7415.16,  120.0,    1.0299
"NODE_BACK_BASIN", 12.47, 1,    7415.63,    0.0,      1.03, 2,    7415.88, -120.0,      1.03, 3,    7414.94,  120.0,    1.0299
"NODE_UG4500008", 12.47, 1,    7416.22,    0.0,    1.0301, 2,    7415.39, -120.0,      1.03, 3,    7414.54,  120.0,    1.0299
"NODE_OCD21004917", 12.47, 1,    7416.23,    0.0,    1.0301, 2,    7415.39, -120.0,      1.03, 3,    7414.53,  120.0,    1.0299
"NODE_UG_4_26_72_2_0002", 12.47, 1,    7416.36,    0.0,    1.0301, 2,    7415.28, -120.0,      1.03, 3,    7414.44,  120.0,    1.0298
"NODE_OH_4_26_73_1_0001", 12.47, 1,    7416.44,    0.0,    1.0301, 2,    7415.22, -120.0,      1.03, 3,    7414.38,  120.0,    1.0298
"NODE_OH4500056", 12.47, 1,    7416.65,    0.0,    1.0302, 2,    7415.07, -120.0,    1.0299, 3,    7414.22,  120.0,    1.0298
"NODE_UG_4_26_85_2_0001", 12.47, 1,    7419.25,    0.0,    1.0305, 2,    7413.08, -120.0,    1.0297, 3,    7411.25,  119.9,    1.0294
"NODE_UG4306328", 12.47, 1,    7419.25,    0.0,    1.0305, 2,    7413.09, -120.0,    1.0297, 3,    7411.25,  119.9,    1.0294
"NODE_UG4303561", 12.47, 3,    7410.55,  119.9,    1.0293, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307206", 12.47, 1,    7419.33,    0.0,    1.0305, 2,    7413.19, -120.0,    1.0297, 3,    7411.36,  119.9,    1.0294
"NODE_OH4307207", 12.47, 2,    7413.19, -120.0,    1.0297, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4302949", 12.47, 1,    7419.33,    0.0,    1.0305, 2,    7413.19, -120.0,    1.0297, 3,    7411.36,  119.9,    1.0294
"NODE_UG4307161", 12.47, 1,    7419.28,    0.0,    1.0305, 2,    7413.12, -120.0,    1.0297, 3,    7411.28,  119.9,    1.0294
"NODE_OH4307162", 12.47, 1,    7419.28,    0.0,    1.0305, 2,    7413.12, -120.0,    1.0297, 3,    7411.29,  119.9,    1.0294
"NODE_PLAZA", 12.47, 1,    7415.63,    0.0,      1.03, 2,    7415.88, -120.0,      1.03, 3,    7414.95,  120.0,    1.0299
"NODE_UG4500324", 12.47, 1,    7415.64,    0.0,      1.03, 2,     7415.9, -120.0,      1.03, 3,    7414.96,  120.0,    1.0299
"NODE_OCD21004916", 12.47, 1,    7415.64,    0.0,      1.03, 2,     7415.9, -120.0,      1.03, 3,    7414.96,  120.0,    1.0299
"NODE_UG4500325", 12.47, 1,    7415.65,    0.0,      1.03, 2,     7415.9, -120.0,      1.03, 3,    7414.96,  120.0,    1.0299
"NODE_BLACK_LAKE", 12.47, 1,    7415.63,    0.0,      1.03, 2,    7415.89, -120.0,      1.03, 3,    7414.79,  120.0,    1.0299
