Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"MAIN_NODE", 12.47, 1,     7415.5,    0.0,      1.03, 2,    7415.57, -120.0,      1.03, 3,    7415.47,  120.0,      1.03
"NODE_ROOT", 12.47, 1,    7415.47,    0.0,      1.03, 2,    7415.56, -120.0,      1.03, 3,    7415.42,  120.0,      1.03
"NODE_EL_RITO", 12.47, 1,    7415.44,    0.0,      1.03, 2,    7415.55, -120.0,      1.03, 3,    7415.35,  120.0,      1.03
"NODE_UG4303156", 12.47, 1,    7416.27,    0.0,    1.0301, 2,    7414.92, -120.0,    1.0299, 3,     7414.6,  120.0,    1.0299
"NODE_OCD21000118", 12.47, 1,    7431.51,   -0.1,    1.0322, 2,    7399.63, -119.9,    1.0278, 3,    7364.76,  119.5,    1.0229
"NODE_UG21000121", 12.47, 1,    7432.03,   -0.1,    1.0323, 2,    7399.17, -119.9,    1.0277, 3,     7363.8,  119.5,    1.0228
"NODE_OCD21000120", 12.47, 1,    7432.03,   -0.1,    1.0323, 2,    7399.17, -119.9,    1.0277, 3,    7363.78,  119.5,    1.0228
"NODE_UG21000123", 12.47, 1,    7432.69,   -0.1,    1.0324, 2,     7398.6, -119.9,    1.0276, 3,    7362.56,  119.5,    1.0226
"NODE_OCD21000122", 12.47, 1,    7432.69,   -0.1,    1.0324, 2,     7398.6, -119.9,    1.0276, 3,    7362.55,  119.5,    1.0226
"NODE_UG21000124", 12.47, 1,     7433.3,   -0.1,    1.0325, 2,    7398.07, -119.9,    1.0276, 3,    7361.42,  119.5,    1.0225
"NODE_63232-63900-CP571127447", 12.47, 1,    7440.58,   -0.1,    1.0335, 2,    7387.75, -119.8,    1.0261, 3,    7320.39,  119.2,    1.0168
"NODE_OH4301347", 12.47, 1,     7440.9,   -0.1,    1.0335, 2,    7387.28, -119.8,    1.0261, 3,    7318.53,  119.2,    1.0165
"NODE_OH4301053", 12.47, 1,    7470.26,   -0.2,    1.0376, 2,    7342.42, -119.6,    1.0198, 3,    7148.04,  118.1,   0.99284
"NODE_OH4301105", 12.47, 3,    7148.04,  118.1,   0.99284, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_64044-CP571113943-56704", 12.47, 1,    7470.26,   -0.2,    1.0376, 2,    7342.42, -119.6,    1.0198, 3,    7148.03,  118.1,   0.99284
"NODE_OH4301124", 12.47, 1,    7470.33,   -0.2,    1.0376, 2,    7342.31, -119.6,    1.0198, 3,    7147.87,  118.1,   0.99282
"NODE_OCD4300153", 12.47, 1,     7471.6,   -0.2,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4301286", 12.47, 1,     7471.6,   -0.2,    1.0378, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4307480", 12.47, 3,    7133.81,  118.0,   0.99087, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4307481", 12.47, 3,    7133.81,  118.0,   0.99087, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307466", 12.47, 3,    7133.96,  118.0,   0.99089, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307470", 12.47, 3,    7133.91,  118.0,   0.99088, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4307468", 12.47, 3,    7133.96,  118.0,   0.99089, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307467", 12.47, 3,    7133.57,  118.0,   0.99083, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4303060", 12.47, 3,    7133.37,  118.0,   0.99081, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG_3_32_15_3_2", 12.47, 3,       7133,  118.0,   0.99076, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG_3_32_15_3_0001", 12.47, 3,    7132.98,  118.0,   0.99075, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG_3_32_15_1_0001", 12.47, 3,    7132.91,  118.0,   0.99074, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG_3_32_15_3_0002", 12.47, 3,       7133,  118.0,   0.99075, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG_3_32_15_3_0004", 12.47, 3,    7132.96,  118.0,   0.99075, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301470", 12.47, 3,    7137.01,  118.0,   0.99131, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307435", 12.47, 3,    7136.71,  118.0,   0.99127, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301473", 12.47, 3,    7137.01,  118.0,   0.99131, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4300203", 12.47, 3,    7137.01,  118.0,   0.99131, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4307429", 12.47, 3,    7137.02,  118.0,   0.99131, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4303146", 12.47, 3,    7137.82,  118.0,   0.99143, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4303149", 12.47, 3,    7137.75,  118.0,   0.99141, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4303056", 12.47, 3,    7137.82,  118.0,   0.99143, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4303147", 12.47, 3,    7137.82,  118.0,   0.99143, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4307352", 12.47, 3,    7139.14,  118.0,   0.99161, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4307353", 12.47, 3,    7139.14,  118.0,   0.99161, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4300174", 12.47, 2,    7339.76, -119.6,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4301579", 12.47, 2,    7339.75, -119.6,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301581", 12.47, 2,    7339.85, -119.6,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4303903", 12.47, 2,    7339.85, -119.6,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4303904", 12.47, 2,    7339.85, -119.6,    1.0195, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301247", 12.47, 1,    7471.24,   -0.2,    1.0377, 2,    7341.28, -119.6,    1.0197, 3,    7146.07,  118.1,   0.99257
"NODE_OH4301248", 12.47, 1,    7471.27,   -0.2,    1.0377, 2,    7341.25, -119.6,    1.0197, 3,       7146,  118.1,   0.99256
"NODE_OCD4300150", 12.47, 3,    7146.07,  118.1,   0.99257, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4301249", 12.47, 3,    7145.96,  118.1,   0.99256, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4300055", 12.47, 3,    7147.19,  118.1,   0.99273, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4301169", 12.47, 3,    7147.14,  118.1,   0.99272, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301884", 12.47, 1,    7467.92,   -0.2,    1.0373, 2,    7342.96, -119.6,    1.0199, 3,     7145.8,  118.1,   0.99253
"NODE_OH4301886", 12.47, 1,    7467.84,   -0.2,    1.0373, 2,    7342.98, -119.6,    1.0199, 3,    7145.78,  118.1,   0.99253
"NODE_OCD4302602", 12.47, 1,    7467.92,   -0.2,    1.0373, 2,    7342.96, -119.6,    1.0199, 3,     7145.8,  118.1,   0.99253
"NODE_UG4301885", 12.47, 1,    7467.92,   -0.2,    1.0373, 2,    7342.96, -119.6,    1.0199, 3,     7145.8,  118.1,   0.99253
"NODE_OH4301915", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.81,  118.1,   0.99253
"NODE_OH4301926", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.82,  118.1,   0.99254
"NODE_OCD4308022", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.81,  118.1,   0.99253
"NODE_UG4301916", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.81,  118.1,   0.99253
"NODE_OCD4300047", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.82,  118.1,   0.99254
"NODE_UG4301973", 12.47, 1,    7467.85,   -0.2,    1.0373, 2,    7342.99, -119.6,    1.0199, 3,    7145.82,  118.1,   0.99254
"NODE_OH4302612", 12.47, 2,       7343, -119.6,    1.0199, 3,    7145.83,  118.1,   0.99254, 0, 0, 0, 0
"NODE_OH4300203", 12.47, 2,       7343, -119.6,    1.0199, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4303894", 12.47, 3,    7145.83,  118.1,   0.99254, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OH4301574", 12.47, 3,    7145.84,  118.1,   0.99254, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_OCD4303895", 12.47, 2,       7343, -119.6,    1.0199, 0, 0, 0, 0, 0, 0, 0, 0
"NODE_UG4303896", 12.47, 2,       7343, -119.6,    1.0199, 0, 0, 0, 0, 0, 0, 0, 0
